id_detalle,id_venta,id_producto,cantidad_producto,precio_unitario,total_x_producto
1,2,9,4,99,396
2,34,6,3,79,237
3,39,7,9,39,351
4,10,8,7,23,161
5,25,8,5,98,490
6,39,3,6,84,504
7,18,7,8,20,160
8,18,1,4,78,312
9,10,3,8,35,280
10,24,7,7,38,266
11,21,9,10,61,610
12,37,9,4,86,344
13,16,3,9,59,531
14,32,4,5,25,125
15,37,2,3,22,66
16,28,7,7,99,693
17,28,1,9,89,801
18,32,6,9,58,522
19,33,2,3,65,195
20,14,5,8,24,192
21,1,5,3,49,147
22,35,5,4,87,348
23,13,8,5,49,245
24,4,10,8,13,104
25,28,8,5,96,480
26,32,4,6,29,174
27,26,6,9,62,558
28,23,1,5,30,150
29,20,7,2,19,38
30,31,7,7,42,294
31,5,4,8,68,544
32,20,4,6,17,102
33,38,6,3,20,60
34,28,7,4,24,96
35,27,4,5,71,355
36,8,6,3,43,129
37,36,7,4,29,116
38,21,8,3,69,207
39,36,3,1,34,34
40,15,5,9,63,567
41,25,4,2,51,102
42,2,2,6,21,126
43,13,8,6,46,276
44,18,1,7,16,112
45,7,8,3,53,159
46,10,10,5,74,370
47,39,5,9,87,783
48,34,2,8,98,784
49,29,6,7,64,448
50,9,6,3,59,177
51,17,5,9,18,162
52,1,7,9,44,396
53,4,3,4,50,200
54,30,8,4,94,376
55,3,4,5,42,210
56,21,3,3,86,258
57,18,9,2,41,82
58,26,4,8,26,208
59,24,4,4,58,232
60,3,9,3,59,177
61,34,8,6,93,558
62,17,4,7,43,301
63,31,2,6,49,294
64,11,3,3,59,177
65,7,5,8,97,776
66,36,5,3,44,132
67,37,7,5,18,90
68,31,7,8,70,560
69,26,5,5,68,340
70,32,5,4,84,336
71,34,1,7,58,406
72,22,4,6,39,234
73,19,2,8,13,104
74,6,5,9,50,450
75,26,5,2,59,118
76,24,4,8,46,368
77,16,4,8,46,368
78,30,9,6,88,528
79,25,3,8,72,576
80,7,7,9,56,504
